"season","mode","route_or_line","daytype","direction","timeperiod_id","avg_weekday","precision","source"
"Fall 2018","Bus","21","Weekday",0,1,"261.4800000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",0,6,"154.7000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",0,7,"32.4000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",0,3,"358.1500000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",0,4,"539.7700000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",0,8,"11.2000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",0,5,"456.0000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",0,0,"55.9000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,2,"409.5000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,1,"367.1400000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,6,"162.9600000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,7,"35.0000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,3,"338.2800000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,4,"409.3100000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,8,"10.5000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,5,"399.7000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",1,0,"73.1000000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,2,"450.1900000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,1,"296.2800000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,6,"569.8000000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,7,"160.9800000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,3,"774.4400000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,4,"812.5400000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,8,"36.7500000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,5,"839.1000000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",0,0,"59.5000000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",1,2,"617.2400000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",1,1,"472.6600000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",1,6,"413.5600000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",1,7,"115.9800000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",1,3,"839.9900000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",1,4,"623.9200000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",1,8,"28.1400000000","High","APC Composite Day"
"Fall 2018","Bus","22","Weekday",1,5,"718.7200000000","High","APC Composite Day"
